Lat,Long,LakeName,detected
61.61,-149.667,Seymour Lake,1
61.583,-149.829,Big Beaver Lake,1
61.771,-149.721,Twelvemile Lake,1
61.324,-150.299,<Unknown/Unnamed>,1
61.314,-150.015,Twin Island Lake,1
61.306,-150.018,<Unknown/Unnamed>,1
61.73,-150.03,Jack Lake,1
61.712,-150.055,Honeybee Lake,1
61.654,-150.053,Frazer Lake,1
61.603,-150.182,Red Shirt Lake,1
61.605,-150.11,Heart Lake,0
61.592,-150.131,Butterfly Lake,1
61.535,-150.071,East Papoose Lake,1
61.535,-150.093,West Papoose Lake,1
61.524,-150.188,Hock Lake,1
61.519,-150.032,Crooked Lake,1
62.161,-150.247,Rockys Lakes,1
61.317,-150.452,Figure Eight Lake,1
61.303,-150.416,<Unknown/Unnamed>,1
61.667,-150.423,<Unknown/Unnamed>,1
61.584,-150.622,Otter Lake,1
61.558,-150.677,<Unknown/Unnamed>,1
61.756,-150.572,Lockwood Lake,1
62.134,-150.865,Shulin Lake,1
62.112,-150.923,Quiet Lake,1
61.935,-150.928,Bulchitna Lake,1
61.824,-151.043,<Unknown/Unnamed>,1
61.75,-150.901,Alexander Lake,1
61.941,-151.437,Hewitt Creek Lake,1
61.845,-151.143,Eightmile Lake,1
61.825,-151.221,Sevenmile Lake,1
61.984,-152.078,Finger Lake,1
61.951,-151.54,Shell Lake,1
62.22,-151.569,<Unknown/Unnamed>,1
62.145,-151.056,<Unknown/Unnamed>,1
61.458,-150.408,Flat Horn Lake,1
61.532,-150.005,Flat Lake,1
61.621,-149.733,Prator Lake,1
61.631,-149.569,June Lake,1
61.575,-149.476,Lake Lucille,1
61.575138888888894,-149.84766666666667,BEAVER LAKE,0
61.48183888888889,-149.77324444444446,BROCKER LAKE,1
61.528,-150.01466666666667,HAGGARDS LANDING SEAPLANE BASE,1
61.55143055555556,-149.94575,HOPPE'S,0
61.57148055555556,-149.9241111111111,HORSESHOE LAKE,1
61.55477222222222,-149.93933611111112,JONES LANDING,0
61.57638888888889,-149.94333333333333,KUCERA,1
61.509166666666665,-149.90861111111113,MARION,1
61.58496111111111,-149.84653055555555,WEST BEAVER,1
62.542453888888886,-153.62251,FAREWELL LAKE,1
61.60196944444444,-149.78418055555557,MORVRO LAKE,1
61.703401,-150.008954,NANCY LAKE,1
61.607,-149.2694,FINGER LAKE,1
61.63086944444444,-149.2317888888889,STORMY HILL,0
61.57608055555556,-149.67556944444445,BLODGETT LAKE,1
61.59761111111112,-149.31636111111112,COTTONWOOD LAKE,1
61.628902777777775,-149.6178402777778,ISLAND LAKE,1
61.57908055555556,-149.53885,JACOBSEN LAKE,1
61.60706111111112,-149.57385,KALMBACH LAKE,1
61.62888888888889,-149.42361111111111,MEMORY LAKE,1
61.55073888888889,-149.67613055555557,MISTY LAKE,1
61.6292,-149.27108055555556,NIKLASON LAKE,1
61.588750000000005,-149.3850611111111,UPPER WASILLA LAKE,1
61.57286111111112,-149.5747,WALLIS LAKE SPB,1
61.83530305555556,-150.07973833333332,KASHWITNA LAKE,1
61.72565,-150.0912111111111,LONG LAKE,1
61.72131111111111,-150.04686944444444,MINUTEMAN LAKE,0
